ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
18,20000,1,2,1,41,1,1,1,2,0,2,10782,12812,10019,12561,9210,12023,767,2239,3472,3588,1600,2882,0
19,300000,1,3,2,45,1,1,1,1,1,0,162166,142184,138104,174470,155104,149566,55617,15234,14789,58676,30020,40147,0
20,120000,2,3,2,30,1,2,3,2,2,2,83302,75069,74140,87383,82374,85666,13592,10977,5528,7210,17763,2349,1
21,120000,1,2,3,67,2,3,4,3,3,4,119791,110625,121997,100059,110001,105784,10110,8051,5301,34797,23541,11999,1
22,80000,2,2,3,51,2,3,2,2,3,3,18101,19170,14349,18751,14142,13110,6130,6627,3856,2263,1996,4352,1
23,50000,2,3,2,36,-1,0,-1,-1,-1,-1,36392,35262,41526,48010,36066,39620,1053,8189,8066,1501,11441,2825,0
24,500000,2,3,2,48,1,2,2,1,2,2,55114,55598,48370,58221,61297,54688,9908,4296,9843,9545,11575,16857,0
25,300000,1,3,2,39,1,1,2,1,1,1,173513,153980,143884,176171,128798,173531,49541,41930,5024,17836,37943,47591,0
26,200000,2,1,2,28,2,2,2,2,1,2,125657,103374,103271,125072,128623,101159,34559,22599,4827,33957,26230,14659,1
27,80000,2,2,2,62,-1,-1,0,0,-1,-1,19387,20584,17554,20558,20360,21104,1598,5319,5649,1000,2897,6597,0
28,300000,1,1,1,62,-1,0,-1,-1,-1,-1,33959,39873,40577,34341,41036,43027,8611,8488,8534,6897,10823,13961,0
29,120000,2,3,2,60,2,1,1,2,2,2,14226,15558,13487,14116,13011,16289,3205,621,1245,1630,1020,4985,0
30,120000,2,2,3,38,-1,-1,-1,-1,-1,-1,10183,10482,9325,9993,10955,11420,2472,912,824,881,3724,1764,0
31,120000,1,2,1,33,-1,0,0,0,0,1,64993,85374,71671,79318,83227,58393,7007,23365,7131,24506,17382,12481,0
32,50000,2,1,2,23,-1,1,-1,0,-1,0,11499,10872,9113,9650,10527,9427,3306,2923,373,1834,572,1140,0
33,20000,2,2,3,55,-1,-1,-1,-1,-1,-1,14662,13593,18116,16527,17823,18241,2999,3653,659,2105,2834,1147,0
34,120000,2,3,1,36,-1,0,-1,-1,0,-1,127027,121277,109230,130701,108780,123179,32935,3034,28137,34795,27753,39133,1
35,500000,2,1,2,62,3,3,2,3,3,4,157730,172332,163195,159487,135139,135465,52060,49235,17468,48093,5740,46570,1
36,20000,1,1,2,61,3,2,2,3,2,1,3233,3377,3571,3442,4847,4213,977,556,524,570,515,165,0
37,500000,2,3,3,27,2,3,2,2,2,3,222792,228241,177901,237369,176563,253905,61974,56811,35105,19013,57390,62702,1
38,300000,1,3,1,64,1,0,0,0,1,-1,281414,294532,300792,252960,267185,238454,32526,32335,37785,88063,36750,79465,1
39,50000,2,1,1,27,-1,0,0,0,0,0,24594,18833,24475,19273,20289,20120,930,5159,4356,2668,1471,4438,0
40,200000,2,2,2,44,0,-1,1,0,1,0,30085,28833,26540,31125,32874,28359,6306,9922,8106,2733,1724,1007,0
41,50000,1,4,1,43,1,-1,1,-1,-1,0,41526,50417,46799,58584,54250,47483,1303,5226,4705,3168,12167,1183,1
42,300000,1,3,1,65,-1,-1,-1,-1,0,0,184279,151938,148466,145620,165468,161291,47116,42358,41736,8864,33785,30057,0
43,200000,1,2,1,51,1,1,0,2,0,0,76608,85884,80157,70842,61957,61541,20159,18863,8585,23463,14482,20319,1
44,80000,1,2,1,62,4,3,3,2,3,3,65700,62732,63262,71310,64697,80383,13518,6908,5168,23703,21748,9004,1
45,20000,1,2,2,49,0,0,0,-1,-1,0,21715,20761,22313,20135,15687,15902,1639,2431,981,3777,624,2156,1
46,500000,1,1,2,59,0,-1,1,0,0,1,221391,289990,215227,250100,310960,293667,68407,75815,52899,62126,26503,83013,1
47,120000,1,3,2,61,0,0,0,0,1,-1,34126,39830,48384,39456,34619,32818,7393,4534,7540,11630,3363,9338,0
48,500000,1,1,2,61,-1,-1,-1,-1,-1,-1,257701,258155,210306,274565,301635,283320,48941,9234,57674,56000,48544,93892,1
49,200000,2,1,1,40,-1,1,0,0,0,0,53507,43899,47241,60851,43067,48011,11092,13538,3013,14610,2581,14247,0
50,300000,2,3,1,38,-1,0,0,0,0,1,151879,132777,136136,140117,173126,160643,7191,28461,29828,47513,26879,34697,0
51,300000,2,4,1,67,1,-1,1,0,-1,1,92993,80378,71741,82082,81742,69187,24582,21725,1742,6315,23651,22817,0
52,50000,1,3,1,56,0,0,0,-1,0,1,29082,28592,38488,35914,36394,32606,1164,6263,3739,2363,2693,7263,0
53,80000,2,2,1,64,1,2,2,0,0,1,74171,69613,60978,54870,65336,57028,15640,13256,13487,14732,21069,12461,1
54,120000,2,2,1,48,0,0,-1,0,1,0,94682,122668,99378,132144,129824,93959,7182,33622,3825,33313,41636,2359,1
55,120000,1,2,1,64,-1,0,-1,0,0,0,86916,84374,122353,96615,112036,111803,7695,2582,17678,7861,21206,19040,0
56,20000,1,2,1,54,0,0,0,-1,-1,0,2214,2389,2272,2138,2290,2159,214,293,466,256,695,73,0
57,120000,2,2,2,55,-1,-1,-1,-1,-1,-1,24689,33936,24606,24040,34845,34901,610,7705,6400,5917,8878,11049,0
58,50000,1,2,2,29,0,1,-1,1,1,0,27088,25302,22488,22587,29371,28260,8513,8387,5686,4136,4045,662,0
59,300000,2,2,3,47,2,0,1,1,2,2,100293,95194,86217,97922,77076,70062,28623,14270,5940,30830,15829,8499,1
60,200000,2,3,2,55,3,3,3,2,2,1,12992,9644,13442,12321,10621,13564,393,3296,602,3650,621,4725,1
61,500000,1,4,2,56,1,1,0,-1,-1,0,422822,451440,310707,430329,390209,328549,16407,121547,44803,77781,71642,92772,0
62,300000,1,1,1,66,0,1,0,0,-1,1,93490,114072,126918,128212,134214,131984,26022,20534,12624,30779,39444,35639,1
63,80000,2,2,2,36,-1,-1,-1,-1,-1,-1,9846,8560,7766,8180,9609,8003,219,1383,938,1900,2047,2042,1
64,500000,2,1,1,35,0,0,0,0,0,-1,255708,274203,236775,312956,245630,274014,44689,17196,31495,15768,35879,10113,0
65,80000,1,2,1,66,0,0,0,0,0,0,86041,74443,85164,90649,84682,89319,4767,16601,12865,14544,20236,10281,0
66,80000,2,2,1,67,3,2,2,2,2,2,60807,60771,61274,52365,44634,45716,13088,2265,11711,8648,15280,12960,1
67,500000,2,1,1,29,-1,0,-1,-1,0,1,85603,79198,100601,109011,91701,105359,29914,12797,2320,34461,3876,33244,0
68,80000,2,3,1,38,0,0,1,1,-1,0,43366,37277,37967,48611,48955,37042,3329,3669,4493,15173,6316,5019,0
69,20000,2,2,2,65,1,0,0,-1,0,-1,21341,15963,14632,18149,15689,19811,7164,5356,1569,708,1121,2092,1
70,120000,1,3,2,30,0,-1,0,-1,0,-1,10423,12138,12608,9766,10839,9952,3185,1697,1234,2919,3639,973,0
71,300000,1,1,2,57,2,2,2,2,2,1,214288,228145,205178,184219,157935,159585,74000,41397,57499,40869,31610,32054,1
72,50000,2,1,2,26,0,-1,-1,-1,-1,0,43659,30458,35755,44113,29860,31813,11912,4383,3680,1118,1874,3696,0
73,120000,1,2,2,29,-1,-1,-1,-1,0,-1,81737,98767,76646,94040,74306,90917,24750,6447,5351,13724,16497,2458,1
74,20000,2,1,1,57,-1,-1,-1,-1,-1,-1,3596,4247,4160,4179,3166,4497,777,579,1252,1308,586,669,0
75,200000,2,2,2,49,0,1,1,1,1,1,179921,152342,151921,213620,182647,217889,55092,42209,22236,29525,7228,44173,1
76,120000,1,4,2,47,1,-1,0,1,1,0,47722,36411,44896,37422,49267,46646,2710,8192,3624,9102,15040,10695,1
77,80000,2,1,1,61,1,0,0,0,0,0,7302,7035,8048,8886,6240,8455,1933,1156,2156,1836,1585,1125,1
78,50000,1,1,1,35,-1,0,0,1,1,0,6158,5238,5507,6237,7108,7118,1400,1523,1304,1338,154,879,0
79,120000,2,2,3,44,-1,-1,-1,-1,0,-1,51646,64102,57712,63786,62008,58759,2052,1369,19157,11396,20877,6679,0
80,200000,1,2,2,49,1,1,0,1,1,0,19659,16473,16579,15250,14268,14661,2284,4822,5134,2732,1035,3308,0
81,500000,2,2,2,55,-1,-1,-1,0,-1,-1,459345,382862,411531,369942,363641,422618,41945,15179,102522,117594,7304,48007,1
82,120000,2,2,2,36,0,-1,-1,0,-1,-1,109473,114723,122143,99341,92377,90163,16826,35241,8931,15552,14872,29083,0
83,50000,1,3,1,50,-1,-1,0,0,0,0,3352,2596,2883,2659,3158,3207,286,863,517,221,209,362,0
84,300000,2,1,2,42,-1,-1,-1,-1,-1,-1,265493,283726,204264,203788,269257,238330,29388,82373,12092,32302,56045,66972,0
85,200000,2,2,1,46,-1,-1,-1,0,-1,-1,233925,209803,185376,182578,182170,179172,27530,5552,37316,47810,22365,22488,0
86,200000,2,2,1,61,1,0,1,1,2,2,12619,13699,15345,15456,11993,16601,2750,2652,4949,2733,972,3809,0
87,20000,2,3,2,39,-1,0,0,0,0,-1,13201,15067,13840,17215,12865,12524,851,4422,294,4503,4440,3139,0
88,80000,2,2,1,52,1,0,1,-1,0,0,92822,72691,89050,65684,84608,95706,9241,14527,27524,6511,10982,7421,1
89,300000,1,2,2,65,0,0,-1,-1,0,0,235495,290489,213115,196252,203429,287125,29356,40313,42191,41666,31910,41744,0
90,300000,2,1,1,56,1,1,1,1,1,1,150850,154950,136335,164925,161366,165967,25371,27167,9531,50339,18895,10306,0
91,120000,1,1,2,67,-1,-1,-1,-1,-1,-1,118378,124499,95887,116028,112300,116564,3855,5805,28999,22587,33263,21974,0
92,300000,2,1,2,48,0,-1,-1,-1,-1,-1,228880,259136,250265,226958,233878,177264,80048,47624,49346,52234,19865,56743,0
93,300000,2,3,2,34,1,-1,0,0,0,0,91484,98967,104631,116032,82948,95114,10898,2888,17566,28312,5153,20616,0
94,80000,1,2,2,67,0,0,0,0,-1,0,19923,22683,20939,18519,20437,23968,2287,5275,3871,4890,6353,6029,1
95,500000,1,3,3,51,3,3,3,3,3,3,258696,276297,247090,266522,264605,216067,52543,41126,16958,36139,21303,24503,1
96,80000,2,1,2,32,1,0,0,0,0,1,27404,26956,37615,37580,36541,29521,8271,2241,2151,8525,11076,5151,0
97,50000,1,3,2,35,-1,-1,-1,-1,-1,-1,16091,21308,20849,18891,17817,16988,2747,548,4968,2972,3755,4492,0
98,200000,2,3,2,33,0,0,0,-1,1,0,43646,42254,41270,44327,41397,46011,4456,13702,12815,6605,12076,2913,0
99,200000,1,1,1,60,0,0,-1,1,0,1,190797,198495,188801,201154,145641,185516,39445,40410,47043,35567,6284,11161,0
100,20000,2,1,1,25,-1,0,0,-1,-1,-1,13978,15345,16836,13515,15570,11933,2507,3582,5008,2089,5262,1122,1
101,300000,1,1,1,55,1,0,0,-1,0,0,103717,91612,100671,93875,114007,96501,16554,25393,30077,2678,13557,9470,0
102,50000,1,3,1,47,0,-1,-1,-1,-1,-1,14445,13173,12691,11604,14807,15399,4978,2987,388,3073,582,5198,0
103,300000,2,1,1,24,1,1,2,1,1,1,43252,44026,51043,56578,53258,43945,15080,6882,14006,12041,14508,3179,0
104,20000,2,2,1,49,1,1,1,1,1,0,2895,2639,2929,3475,3497,2781,594,599,804,227,275,152,0
105,300000,1,2,2,56,1,0,0,0,0,0,171114,210399,213994,173109,222973,167558,7262,21740,28994,18389,30294,10964,0
106,300000,2,3,1,55,4,3,2,3,3,3,47248,36171,45203,43781,41119,49077,9784,7423,7017,9703,8891,4267,1
107,300000,2,2,2,45,3,3,3,3,2,3,245360,344530,256917,300242,253497,235457,82027,30264,68342,57329,10809,33358,1
108,200000,2,2,1,36,-1,-1,0,-1,0,-1,61179,61231,58894,53461,73142,57532,19912,19762,20351,13831,6336,4893,0
109,120000,1,4,2,28,0,0,1,0,0,0,8547,8196,8794,9378,8931,8336,778,1542,3042,1701,1620,408,0
110,200000,2,1,1,21,1,0,0,-1,0,1,196544,159489,142426,167774,206068,139138,16261,15497,25119,50119,32811,9055,1
111,50000,2,3,2,37,-1,0,-1,-1,0,-1,21663,16582,18622,22767,19853,23487,1521,3831,5224,1037,4049,6590,0
112,300000,2,1,1,50,0,0,0,0,0,0,132024,116115,90447,123824,132893,128723,38356,5783,15719,27532,34611,24666,1
113,120000,2,2,2,22,0,0,1,0,0,1,20314,17773,21382,17396,16090,20067,3691,2901,6537,2480,2196,5340,0
114,120000,2,3,1,67,2,2,1,1,2,3,76610,85574,69044,88591,84475,79543,10078,26165,16184,10742,12963,6229,0
115,120000,1,2,3,48,0,0,0,0,1,-1,41680,47732,38794,51186,46629,40253,5301,13049,12766,16963,5123,4858,0
116,120000,2,2,1,34,1,2,1,1,0,1,82514,88947,111804,92733,80350,102458,9149,22426,39029,28288,10614,35262,0
117,20000,2,2,2,66,0,-1,0,0,-1,-1,11856,12814,10877,11732,11415,11656,3690,2246,1402,945,420,562,0
118,20000,2,2,1,29,-1,-1,-1,-1,0,0,15225,16445,19126,20117,15344,18796,2362,2754,6563,783,3244,3096,0
119,50000,1,2,2,66,2,2,3,1,1,2,30466,28801,30603,34436,26500,27590,3062,683,7605,10544,2040,3244,1
120,20000,1,2,2,34,0,0,-1,-1,-1,-1,17162,17588,17919,17397,18722,17254,4366,3834,1766,1319,4799,386,1
121,120000,2,2,1,38,-1,-1,-1,-1,-1,-1,92283,68968,74828,79291,101653,79629,21197,14511,1573,25874,3448,16109,0
122,200000,1,2,1,40,0,1,0,0,0,0,90685,88757,81541,106491,113124,97876,23221,1929,20031,11875,4497,19722,1
123,200000,2,2,1,67,-1,1,1,0,0,-1,141803,143076,125967,153434,168955,122203,41299,9332,11763,23912,19252,15367,1
124,120000,1,2,1,32,-1,0,0,1,1,0,72619,81116,96054,76436,92730,73913,3878,1955,9255,2663,15270,12997,0
125,300000,2,2,3,66,-1,0,-1,0,-1,-1,15078,17712,17043,13677,17664,14760,311,1834,3446,2699,4396,2204,0
126,120000,2,1,1,37,-1,1,0,0,0,0,86289,97756,78578,83584,75548,84505,3165,2079,2373,6877,18767,14635,0
127,20000,1,3,1,34,1,0,0,0,0,1,5450,6517,5225,6487,5345,7105,1380,1027,822,1052,1823,2130,0
128,300000,1,2,3,50,0,-1,-1,-1,-1,-1,153260,170531,146299,148792,194135,158412,50328,30219,41518,48119,26410,40491,0
129,200000,2,1,1,53,-1,0,1,-1,1,-1,35971,29323,26815,34699,29933,25163,4649,4815,777,3586,1184,2830,1
130,200000,2,2,1,37,0,-1,-1,0,-1,-1,13377,10738,11626,11891,14325,13309,3716,921,2626,2729,4357,1318,0
131,120000,1,3,2,27,0,-1,-1,0,-1,0,7170,7896,8082,7946,7169,6497,1868,1522,584,688,1871,1684,0
132,120000,2,1,2,39,0,0,0,-1,1,-1,18890,22869,19005,20283,21692,27075,6474,6601,5791,4487,921,2547,0
133,20000,2,1,2,46,2,1,2,1,2,1,1097,1167,1449,1378,1149,1112,192,135,215,159,54,355,1
134,120000,2,1,2,22,0,0,0,0,-1,0,19363,21418,16773,21046,22581,23464,1448,2637,4830,5154,4003,6917,0
135,300000,1,1,3,24,-1,-1,0,1,0,0,207127,192333,197410,185861,176827,186009,56447,38299,51101,50982,23472,19220,0
136,80000,1,3,1,64,-1,0,-1,0,0,0,29862,34637,33301,40830,32390,30037,8666,3364,10312,12682,7022,8545,0
137,200000,1,4,3,22,2,2,3,2,1,1,182000,169854,164135,162188,206792,190056,46120,22330,31278,52408,19091,15802,1
138,20000,1,1,2,40,0,-1,0,-1,-1,-1,19666,19215,18408,14134,15915,16392,5995,3253,3321,1408,5356,462,0
139,80000,1,3,2,56,-1,-1,-1,0,0,-1,14689,12509,13359,12309,14654,14930,2093,1844,432,770,2769,5033,0
140,120000,2,1,1,36,0,-1,0,0,-1,0,49511,63417,61462,53808,57188,51191,12269,18391,12056,1937,15311,13885,0
141,500000,1,2,1,44,-1,-1,-1,-1,-1,-1,241602,224004,252414,257050,225424,237041,25868,67238,48527,66246,13865,42993,0
142,50000,2,3,2,25,0,0,0,-1,-1,0,19585,23118,23394,16121,23144,21314,3277,3535,5149,1316,5174,6357,1
143,50000,1,2,2,58,-1,-1,-1,0,-1,-1,30802,30356,29494,28947,25883,26102,3080,5092,1865,8222,7907,1175,0
144,80000,1,1,2,50,0,0,1,-1,-1,0,45897,53015,49373,53605,65255,57337,3258,17801,9785,18139,1800,15142,1
145,500000,2,2,2,61,0,-1,0,0,0,0,368690,369942,318308,388625,376240,377813,11748,68816,54058,26748,74569,126789,0
146,300000,2,4,2,61,0,0,0,-1,0,-1,105966,97163,125379,110783,134413,116132,25598,33783,27166,12573,13633,33693,0
147,20000,1,2,1,37,0,1,1,1,1,2,16219,12035,13384,17247,15968,13963,5009,3270,3185,3327,2840,2268,0
148,50000,1,1,1,22,0,0,0,0,0,1,18360,15190,16418,16483,16792,14492,2272,1628,2286,2671,4857,1946,1
149,300000,1,1,1,37,2,2,2,2,1,2,289898,265536,227672,304221,257690,216858,46861,25385,42423,48845,63835,68201,1
150,20000,2,2,1,27,1,0,1,1,1,2,22290,15623,20706,20464,19840,17823,471,1132,3113,1875,5336,2070,1
151,300000,2,2,1,46,1,1,1,0,1,0,106800,98826,92027,92192,86499,94543,16686,28267,25087,28896,7772,31138,0
152,50000,1,3,2,27,1,1,1,2,1,2,34236,47551,32842,44799,35386,44173,3863,5766,9288,10972,10429,5545,0
153,500000,1,3,2,64,0,0,0,1,-1,1,339250,472599,490675,411180,336317,366617,71068,114847,57247,29101,74870,22457,0
154,80000,2,3,2,49,-1,1,-1,0,0,0,38658,36870,46968,38131,45344,44627,12363,7309,4962,818,1943,4366,0
155,120000,2,3,1,32,0,0,0,0,0,0,15354,15557,14176,15251,13076,12794,2871,4551,3456,4143,3984,2449,0
156,200000,2,1,2,64,-1,0,-1,-1,-1,-1,147450,139048,136372,183905,165350,138214,35819,37232,37560,4640,6349,8744,0
157,20000,2,2,2,57,0,0,0,1,1,0,9563,7893,9539,9529,7456,8113,2417,323,224,2959,219,1179,0
158,120000,1,2,2,41,-1,-1,-1,-1,-1,-1,31887,34236,26010,25461,24205,28928,2241,4508,4189,4957,7143,9226,1
159,120000,1,2,2,27,-1,-1,-1,-1,-1,-1,92281,93084,80902,88141,78671,67720,12399,17837,9833,28815,1911,3452,0
160,300000,1,4,2,37,2,2,2,3,1,1,133751,124947,154840,135469,160078,117674,7669,35634,42263,37215,7873,26217,1
161,500000,2,2,2,48,0,0,-1,-1,0,-1,71336,56645,58191,53337,60332,65704,11802,14480,3920,16808,1544,10068,1
162,200000,2,4,2,56,1,1,0,0,0,0,217220,188904,181041,170148,231328,191133,67947,38026,50116,45167,71825,44660,1
163,80000,2,2,2,33,0,0,1,-1,1,0,26706,21855,18421,18462,17963,21587,4772,6267,4389,3882,624,3919,1
164,80000,2,2,1,55,1,0,0,0,0,0,47533,35804,39756,45870,42257,39552,8105,5854,11853,3537,6042,12233,1
165,80000,2,2,1,34,1,2,2,1,2,2,50130,47147,57020,49559,47126,52054,4465,1808,19773,12891,4317,7955,0
166,300000,2,1,1,32,0,0,0,-1,0,0,37368,44963,39974,38872,42941,40498,4572,13816,7085,8375,5700,7604,0
167,80000,1,1,2,42,0,0,0,0,0,0,71751,54038,71387,57187,48921,54888,23611,10471,17904,9723,5669,3454,1
168,50000,1,2,2,28,0,-1,-1,1,1,0,36271,37992,36356,38287,27181,33950,4352,10895,9244,7823,8507,6172,0
169,80000,1,1,2,40,0,-1,-1,0,0,-1,46710,45696,36601,43656,45053,41889,12208,6826,10933,4219,12329,2423,0
170,20000,2,4,1,37,0,0,-1,0,0,0,12340,11205,11180,10984,11728,12838,418,2400,2135,1685,3659,2727,0
171,20000,1,1,1,34,4,2,3,3,4,3,21070,18735,18418,21050,17008,21816,1313,2421,1022,1283,4381,3513,1
172,20000,2,1,2,57,-1,0,0,1,1,0,20261,20847,17543,15286,21363,14780,2487,3234,6020,2372,2756,4116,1
173,300000,2,3,1,36,1,-1,0,0,0,0,53269,39386,46551,52420,48878,40546,16911,2703,1804,9125,3975,6410,1
174,300000,2,1,2,53,0,-1,0,0,0,1,139413,138135,100855,104184,111764,138149,12877,36568,34046,31574,21774,31511,0
175,200000,1,3,1,54,0,1,1,1,0,-1,103000,88707,95904,87508,104230,100208,26762,9978,9999,16973,14352,3954,1
176,120000,1,3,2,52,3,4,3,3,4,4,90586,130391,95881,105368,102254,110512,6819,15591,17500,33710,23756,28103,1
177,300000,1,1,2,33,0,0,0,0,0,0,202977,212946,216448,204945,281823,266329,45109,29148,72232,69560,9257,89474,0
178,50000,2,2,2,59,1,0,0,1,0,-1,20343,23382,22077,18018,20736,21147,4346,3801,5371,651,5293,3547,1
179,500000,2,2,1,32,1,0,-1,0,0,0,508440,361927,537348,491227,382957,359564,114522,76053,114581,106624,45516,8359,0
180,120000,2,3,2,34,1,-1,0,0,-1,0,55730,55093,51884,47062,43089,43184,6379,13515,6617,5588,7434,9466,0
181,500000,1,3,2,62,0,-1,-1,-1,-1,-1,146558,157511,181932,122329,139987,128031,10771,38271,21193,36813,48007,8694,0
182,50000,1,3,2,36,0,-1,1,0,-1,0,29035,25470,32510,33352,30316,27345,9074,4070,1001,6104,2762,4769,1
183,120000,1,2,2,53,1,1,1,2,0,1,46479,51441,42338,50197,48074,39817,9663,9209,9038,2297,2828,1222,0
184,200000,2,2,1,22,1,1,1,0,0,0,145664,108073,147709,149234,152433,134877,13106,7165,23919,13573,13602,22406,0
185,120000,2,2,2,49,-1,-1,-1,-1,-1,0,55438,53407,43467,45305,47562,50603,8670,10259,4086,10981,6468,15615,0
186,120000,1,4,1,61,2,2,1,1,0,1,83162,90632,81709,111042,90492,80315,3504,28044,11994,5138,17823,5194,0
187,50000,2,2,1,54,0,0,1,-1,0,-1,45462,53101,56728,52130,38951,40074,8041,9130,18749,7563,13378,7391,1
188,80000,1,2,2,48,0,0,1,-1,0,0,24852,27749,25774,24932,23074,28693,3973,9144,7731,7669,7085,2977,0
189,50000,2,2,2,60,0,0,0,-1,0,0,27140,26349,31318,24184,28603,23040,1731,1881,5074,716,7320,2445,1
190,80000,1,3,1,35,0,0,1,-1,0,-1,67121,65397,50576,58281,70261,53444,11185,17211,17367,14555,18111,12414,0
191,200000,1,4,1,38,0,1,2,1,0,0,46052,45808,43478,34525,43037,40431,10640,11618,7499,8386,4891,10792,0
192,200000,2,1,1,24,-1,-1,-1,-1,-1,-1,136078,174219,144781,176065,137213,141691,44416,42667,19576,22156,44762,43666,0
193,200000,1,1,1,53,-1,-1,-1,-1,-1,-1,107636,112358,113392,130823,139845,106335,27129,26824,16783,7482,27696,11890,0
194,80000,1,2,2,55,0,0,0,0,0,0,14381,14809,17428,13175,17066,12460,2672,405,5378,708,1256,540,0
195,500000,2,2,1,56,-1,-1,-1,-1,-1,-1,403900,392221,424101,396199,385014,524279,110715,103899,45955,134646,128440,87005,0
196,20000,1,2,2,56,0,-1,-1,-1,0,0,8755,8937,9709,10547,10668,9474,983,1652,905,2566,1996,2017,0
197,80000,2,1,1,26,1,1,1,0,0,2,13958,15361,19748,16906,18564,17303,3359,2964,6654,2435,1323,4569,1
198,20000,2,2,1,52,0,-1,-1,-1,-1,-1,3831,5206,5324,4731,5160,5357,83,191,1396,1395,1355,1443,1
199,80000,2,2,2,56,-1,0,1,0,0,-1,72643,66797,51415,75721,62938,66400,3192,5488,13987,4096,6114,20251,0
200,500000,1,2,1,30,3,3,4,3,2,3,397125,497355,407633,416852,415654,427440,89753,159468,107735,25797,34054,12944,1
201,80000,2,2,1,43,-1,-1,0,1,1,-1,36854,27539,38088,34284,36528,32263,3078,3418,9345,2920,3956,11089,1
202,500000,1,3,3,63,0,1,0,0,0,0,55181,47883,61304,66366,59271,59274,13645,7181,3072,18049,12496,20096,0
203,120000,1,2,3,40,0,0,-1,0,-1,0,15605,18849,16761,15674,20053,16206,3591,1553,4503,2428,2337,514,0
204,200000,1,3,2,56,-1,-1,-1,0,-1,-1,113219,137017,111306,124433,116053,148406,4643,31325,11369,28874,3884,18311,0
205,120000,2,2,1,45,-1,-1,-1,-1,-1,-1,38712,56370,38939,55702,45291,40566,5788,14905,2480,5386,6697,11059,0
206,50000,2,2,2,51,0,1,0,0,0,0,21381,23033,26811,19058,24833,19601,4752,7463,9233,5269,2417,3487,0
207,300000,2,2,3,50,0,0,1,0,-1,0,125263,97842,109292,95309,113640,104801,31998,20104,3190,27120,21452,2256,1
208,500000,2,1,3,51,0,0,0,0,0,1,287224,265438,274089,237156,239351,203733,83096,29452,8343,37085,41085,27922,0
209,50000,2,2,1,57,-1,-1,-1,-1,0,-1,27343,35824,29444,37115,35832,39622,3528,1555,3600,3305,1639,8362,0
210,300000,2,2,1,63,1,1,1,0,0,1,137597,139943,151565,166329,185188,169093,40744,15088,45255,37909,18695,52463,1
211,50000,2,3,1,34,-1,0,0,-1,-1,-1,8714,10873,10334,9165,10403,8275,1192,2436,3541,957,1174,2429,0
